CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
Anemone,Fil Burnu Beach (Anemone),TR,Black Sea,342,Rural,Pebbels,20191124,Cleanup,TR000001,29.11977134372477,41.19745041837314,29.11915256888569,41.194400339382355,1,68,,,8,10,3,42,,,2,,,,2,,,,,,109,2,7,15,1,,6,1,3,44,,1,,,,1,,,,,,,18,1,2,,,,,,,,,,,,,,,,,1,,1,,1,195,1,54,,,,,1,,1,,,,3,2,2,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,84,8,,8,,,6,,,,,2,,,16,1,1,,,,47,2,2,,,,,,,,,
Surfrider Foundation Europe,"Plages de Corbi?res, 13016 Marseille, France",FR,Mediterranean Sea,350,,,20190927,Cleanup,,5.2875741,43.3581608,5.2875741,43.35816080653144,,,,,32,40,,,,,,,,,,,,,,,,,2,210,,,,,,22,,40,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,40,,,144,,,,,,,,,,,,,,,,,95,,,,,,,,,,,0
gBqsPxAZ,Marienlyst ,DK,North-east Atlantic Ocean,154,,,20200422,Cleanup,,9.043772716941259,56.59750043579928,9.04404436209328,56.596122740132245,,0,1,,0,0,,0,,,,,,,,,,0,,,,,,0,,,1,,,,0,0,,,,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,,,0,8,,,,0,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
EMBLAS,Sarpi,TR,Black Sea,47,Urban,Pebbels,20190901,Cleanup,,41.54773110388203,41.52223295966036,41.548283686359376,41.52218562435337,,,,,,,,,,,,,,,,,,18,,,,,2,100,1,,14,1,,2,1,2,,,,,,,,,,,,3,,,,,,,,,,,,,5,,,,,,,,,,28,,18,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,9,,,,,,,,,,,,,,1,,,,,7,,,,,,,2,,,,,,,,1,7,,,,,,,,,,,,2,5,,4,,,,,,6,,,,,,,
Surfrider Foundation Europe,"138 Route des Plages, 64500 Saint-Jean-de-Luz, France",FR,North-east Atlantic Ocean,350,,,20190210,Cleanup,,-1.625544,43.4137774,-1.625544,43.41377740652545,,15,,,3,1,,,,,2,,,,,,,11,,,,,4,1,,,8,4,2,1,4,,,,,,,,,,,,,8,,,,1,,,1,,,,,,,,,,,,,,,,110,,1090,,,,,,,,,,,,12,,,,,,,,,1,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,0
Surfrider Foundation Europe,"19bis Quai Victor Augagneur, 69003 Lyon, France",,Unknown,3000,,,20190926,Cleanup,,4.8411115,45.75881199999999,4.8411115,45.75881200626737,,250,,,11,13,,50,,,,,,,,,,80,,,,,7,3803,,,200,,,34,10,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,500,,6,,,,,,,,,,,,,,,,,68,,,,,,,,,1,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,52,,,703,,,,,,,,,,,,,,,25,,24,,,,,,,,50,,,0
Surfrider Foundation Europe,"355 Route de Pen ar Pont, 29470 Plougastel-Daoulas, France",FR,North-east Atlantic Ocean,750,,,20190727,Cleanup,,-4.4378407,48.3434247,-4.4378407,48.34342470597078,,15,,,3,3,,,,,,,,,,,,15,,,,,1,99,,,20,2,,6,,6,,,,,,,,,2,,,20,,,,,,,250,,,,,,,,,,1,1,,,,,150,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,4,,,,,,,,40,,,0
"Aarhus University, Denmark ",MSFD Skagen,DK,North-east Atlantic Ocean,99,Rural,Other (mixed),20190415,Monitoring,,10.58123183286403,57.74860901131989,10.582810882487294,57.74891554142239,,9,11,1,1,1,,1,,,1,,,,,,,17,18,4,7,,,,,,6,2,10,2,,6,,,,1,,3,,,,,13,86,,68,,3,,,,,2,1,,1,11,9,,,10,,,7,,,151,,5,1,,,,3,,,,2,,,48,,,,,,1,,11,9,,,,,,,,,,1,1,,,,1,,1,,,,1,,,,,,,,,,2,,,,,,,15,3,,1,,,,,,,,,1,,,,,,,,,,,1,,1,,58,,,,6,,,57
Surfrider Foundation Europe,"205 Route du Caro, 29470 Plougastel-Daoulas, France",FR,North-east Atlantic Ocean,350,,,20190426,Cleanup,,-4.4404699,48.340654799999996,-4.4404699,48.340654805971106,,200,,,,,,50,,,,,,,,,,20,,,,,,74,,,50,10,,,,3,,,,,,,,,13,,,100,,,,100,,,300,,,,,,,,,,9,,,,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,10,,,20,,,,,,,,,,,,,,,15,,30,,,,,,,,200,,,0
Surfrider Foundation Europe,"9 Rue de la Plage, 64210 Bidart, France",FR,North-east Atlantic Ocean,150,,,20190601,Cleanup,,-1.5962537,43.43645469999999,-1.5962537,43.436454706522994,,50,,,,,,5,,,,,,,,,,3,,,,,,20,,,10,10,,5,,10,,,,,,,,,,,,10,,,,10,,,10,,,,,,,,,,,,,,,,30,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Surfrider Foundation Europe,"Pg Mar?tim - Hospital del Mar, 08003 Barcelona, Spain",ES,Mediterranean Sea,750,,,20191215,Cleanup,,2.1941912,41.383890699999995,2.1941912,41.38389070674003,,400,,,5,1,,50,,,2,,,,,,,120,,,,,2,350,,,100,400,5,10,2,50,,,,,,,,,1,,,2,,,,15,,,15,,,,,,,,,,1,1,,,,,2,,3,,,,,,,,,,,,10,,,,,10,,,,20,,,,,1,,,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,,,,,5,,,30,,,,,,,,,,,,,,,30,,,,,,,,,,10,,,0
Surfrider Foundation Europe,"Paseo Mar?timo Virgen del Carmen, 21-23, 29730 Rinc?n de la Victoria, M?laga, Espagne",ES,Mediterranean Sea,3000,,,20190510,Cleanup,,-4.2886328,36.71505930000001,-4.2886328,36.71505930720106,,22,,,,,,86,,,10,,,,,,,57,,,,,1,1736,,,252,44,,8,2,85,,,,,,,,,,,,22,,,,40,,,,,,,,,,,,,,,,,,,146,,96,,,,,,,,,,,,10,,,,,3,,,,1,,,,,1,,,,,,,,,,,,8,14,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,15,,52,,,,,,,,17,,,0
Surfrider Foundation Europe,"8 Place du Ralliement, 49100 Angers, France",,Unknown,750,,,20190519,Cleanup,,-0.5520982,47.4707395,-0.5520982,47.47073950607232,,19,,,9,2,,51,,,11,,,,,,,7,,,,,3,37,,,24,3,4,2,,,,,,,,,,,,,,5,,,,,,,3,,,,,,,,,,,1,,,,,48,,,,,,,,,,,,,,7,,,,,7,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,17,,,61,,,,,,,,,,,,,,,2,,9,,,,,,,,6,,,0
Surfrider Foundation Europe,"47 Avenue de Certes, 33980 Audenge, France",,North-east Atlantic Ocean,6000,,,20190428,Cleanup,,-1.0215376,44.692920699999995,-1.0215376,44.692920706386,,921,,,32,54,,41,,,5,,,,,,,187,,,,,13,850,,,371,12,,25,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,9,,,,,,,406,,,,,,,,,,,,35,,,,,10,,,,,,,,,4,,,,,,,,,,,,12,23,,,,,,,,,,,,,,,,,,,,,,,19,,,16,,,,,,,,,,,,,,,310,,80,,,,,,,,146,,,0
"Aarhus University, Denmark ","Risø, Roskilde bredning",DK,North-east Atlantic Ocean,100,Rural,Sandy,20190618,Monitoring,,12.083660175000357,55.69224469838412,12.084006600408221,55.69312055604343,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,2,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,3,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
gBqsPxAZ,Murlough Nature Reserve,UK,North-east Atlantic Ocean,334,Rural,Other (mixed),20190103,Cleanup,,-5.853724091409278,54.23134566004677,-5.849280222716799,54.23289745560491,,,4,,2,,,1,,,,,,,,,,5,,,,,,,,,3,,,,,1,,,,,,,,,,,,9,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Blue Flag Turkey,Sardala Koyu ,TR,Black Sea,95,Rural,Other (mixed),20201027,Monitoring,,29.96166,41.13888,29.96138,41.13805000000001,4,27,8,15,12,29,,9,1,,9,,,1,,4,,37,,1,11,,2,421,,,8,,,12,1,15,,,,8,1,1,,,,,2,5,1,,1,,,,2,,,1,,,,,,,,,,16,19,5,3,1,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,5,,,,,3,,,,24,17,26,,,31,9,3,,13,,,,,,,,6,,6,5,,9,17,,,,,,3,,,,,,,,9,1,42,,,1,,,,,,,,
Surfrider Foundation Europe,"1 Mont?e de la Plage, 40140 Soustons, France",,North-east Atlantic Ocean,350,,,20190604,Cleanup,,-1.411542,43.775503099999995,-1.411542,43.77550310648634,,1000,,,,,,100,,,30,,,,,,,250,,,,,10,60,,,,200,20,30,15,30,,,,,,,,,,,,1000,,,,1000,,,1,,,,,,,,,,15,5,,,,,2500,,200,,,,,,,,,,,,20,,,,,20,,,,10,,,,,,,,,,,,,,,,,50,5,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,15,,4,,,,,,,,100,,,0
Surfrider Foundation Europe,"Passeig de les Goles, 10, 46012 El Perellonet, Valencia, Espagne",ES,Mediterranean Sea,750,,,20190828,Cleanup,,-0.29225,39.30618,-0.29225,39.30618000695091,,2643,,,100,,,,,,,,,,,,,500,,,,,50,1592,,,385,621,,,,107,,,,,,,,,,,,,,,,,,,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,10,,,,,,,,360,,,0
Surfrider Foundation Europe,"Passeig del Mare Nostrum, 15, 08039 Barcelona, Spain",ES,Mediterranean Sea,1200,,,20190830,Cleanup,,2.1885526,41.36942249999999,2.1885526,41.36942250674153,,42,,,24,62,,50,,,2,,,,,,,301,,,,,15,4000,,,64,17,15,90,6,202,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,800,,3,,,,,,,,,,,,43,,,,,,,,,1,,,,,,,,,,,,,,,,,5,9,,,,,,,,,,,,,,,,,,,,,,,76,,,60,,,,,,,,,,,,,,,,,2,,,,,,,,,,,0
Surfrider Foundation Europe,"2 All?e du B?a, 44250 Saint-Brevin-les-Pins, France",,North-east Atlantic Ocean,1500,,,20190615,Cleanup,,-2.1694634,47.2472649,-2.1694634,47.24726490609808,,17,,,,6,,365,,,6,,,,,,,83,,,,,,1170,,,365,,,,,22,,,,,,,,,,,,,,,,136,,,,,,,,,,,,,,,,,,,584,,63,,,,,,,,,,,,11,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Surfrider Foundation Europe,"Unnamed Road, 22303 Hamburg, Deutschland",,Unknown,750,,,20190323,Cleanup,,10.0260615,53.5910631,10.0260615,53.59106310533191,,3,,,3,,,5,,,,,,,,,,1,,,,,1,60,,,1,,3,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,0
