CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
Surfrider Foundation Europe,"20 Boulevard Mar?chal Foch, 34250 Palavas-les-Flots, France",FR,Mediterranean Sea,750,,,20190518,Cleanup,,3.9278346999999996,43.52556829999999,3.9278346999999996,43.525568306513385,,30,,,9,3,,18,,,,,,,,,,96,,,,,5,5227,,,56,72,3,13,7,75,,,,,,,,,,,,4,,,,,,,3,,,,,,,,,,4,,,,,,12,,222,,,,,,,,,,,,202,,,,,2,,,,3,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,13,,,21,,,,,,,,,,,,,,,18,,2,,,,,,,,37,,,0
"Aarhus University, Denmark ","Risø, Roskilde bredning",DK,North-east Atlantic Ocean,100,Rural,Sandy,20190426,Monitoring,,12.083660175000357,55.69224469838412,12.084006600408221,55.69312055604343,,,2,,,,,,,,,1,,,,,,4,,2,,,,,,,3,,1,3,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,2,,18,,,3,,,5,,7,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anemone,Fil Burnu Beach (Anemone),TR,Black Sea,342,Rural,Pebbels,20190428,Cleanup,TR000001,29.11977134372477,41.19745041837314,29.11915256888569,41.194400339382355,2,459,,,132,72,24,85,4,13,9,,1,5,15,4,1,652,220,207,167,69,41,67,23,5,458,50,25,259,7,64,2,2,1,24,,,,,,,81,342,,22,4,5,,,7,,15,1,,1,39,,,,44,2,,26,,,1243,67,2197,10,,1,,4,,78,,,,26,,,1,,10,28,,5,70,3,3,,15,,,,,1,5,,,,,,29,,,,,,,,,,,,,,4,,,,,,,,,,1,8,104,1,2,45,,,1,,,2,,,7,5,55,8,,7,3,1,29,,,,,,,,,,,1
"Aarhus University, Denmark ","Risø, Roskilde bredning",DK,North-east Atlantic Ocean,100,Rural,Sandy,20200703,Monitoring,,12.083660175000357,55.69224469838412,12.084006600408221,55.69312055604343,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,10,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Surfrider Foundation Europe,"7 Avenue Jean Mermoz, 06230 Saint-Jean-Cap-Ferrat, France",,Mediterranean Sea,150,,,20190320,Cleanup,,7.3370141,43.688344199999996,7.3370141,43.688344206495785,,17,,,15,22,,,,,85,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Anemone,Vama Veche (Anemone),RO,Black Sea,102,Rural,Sandy,20190916,Monitoring,RO000001,28.57783000020899,43.74860000011902,28.578289999618185,43.74773999987763,,,11,,1,,,1,,,,,,,,,,42,3,9,14,42,3,1402,3,,175,5,1,9,1,106,,,,,,,,,,,,11,,,,2,,,,,,,,,4,,,,,,,7,,,21,,,,,,,,1,24,,,,,27,,,,,,,,5,,1,,,,,,,,1,12,1,,,,2,,,10,,,2,,2,13,,,,29,4,,14,,,,2,,,,,,2,,10,45,,,,,,2,,,,,,,,,2,,,,,4,,,,,71,,4,1
Black Sea NGO Network || MELTEMI,Shkorpilovtsi,BG,Black Sea,162,Rural,Sandy,20191020,Monitoring,,27.89891667010446,42.955650000031035,27.899266669908844,42.954216670059786,,14,28,,18,14,,1,,,,,,,,,,198,,,,,,1422,,,64,,,,30,94,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,17,25,,,,30,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,
"Aarhus University, Denmark ",MSFD Kofoeds enge,DK,Baltic Sea,99,Rural,Sandy,20201001,Monitoring,,12.576667534348767,55.557674883681656,12.575087175880132,55.557611412989964,,,,,,,,,,,,,,,,,,,,,1,2,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,3,,,3,,,6,,3,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surfrider Foundation Europe,"-15, Av. Pinar, 13, 33417, Espagne",ES,North-east Atlantic Ocean,350,,,20190427,Cleanup,,-5.9367104,43.58807779999999,-5.9367104,43.58807780650663,,120,,,20,20,,4,,,15,,,,,,,300,,,,,2,100,,,20,50,2,10,20,50,,,,,,,,,,,,200,,,,200,,,1,,,,,,,,,,,4,,,,,1000,,200,,,,,,,,,,,,100,,,,,5,,,,,,,,,4,,,,,,,,,,,,10,20,,,,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,0
gBqsPxAZ,Plage de la Mine,,North-east Atlantic Ocean,430,Near river mouth,Sandy,20190502,Cleanup,,-1.630031298265361,46.4178790355222,-1.6272653432847402,46.41451396181607,,22,2,,,,,4,,,,,,,,,,29,,,,,,32,,,41,,,,3,,,,,,,,,4,,,,175,,15,,,,,,,,,,,,,,,,,,3,252,,,,25,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,
Surfrider Foundation Europe,"1237 Route de la Barre, 40220 Tarnos, France",FR,North-east Atlantic Ocean,750,,,20190118,Cleanup,,-1.5191072,43.52975599999999,-1.5191072,43.52975600651293,,2280,,,,126,,936,,,,,,,,,,122,,,,,8,12,,,,,22,144,,6,,,,,,,,,,,,888,,,,,,,,,,,,,,,,,28,18,,,,,6,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,32,18,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,0
Surfrider Foundation Europe,"Murgita, Gipuzkoa, España",,Unknown,100,,,20191015,Monitoring,,-2.2236667,43.07562990000001,-2.2236667,43.07562990656178,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
gBqsPxAZ,plage du sillon,,North-east Atlantic Ocean,3799,Urban,Other (mixed),20190710,Cleanup,,-1.982790526331963,48.67548073094071,-2.0217974221789694,48.65280854736354,,1,6,,1,1,,,,,,,,,,,,4,,,,,,90,,,1,,,,3,2,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
"Aarhus University, Denmark ",MSFD Kofoeds enge,DK,Baltic Sea,99,Rural,Sandy,20190915,Monitoring,,12.576667534348767,55.557674883681656,12.575087175880132,55.557611412989964,,1,,,,,,,,,,,,,,,,1,1,1,,1,,1,,,3,,,3,,2,,,,,,,,,,,,5,,1,,,,,,,,,,,1,,,,1,,,2,,,8,,7,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,1,,,,,,,,,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gBqsPxAZ,Esbjerg Strand,DK,North-east Atlantic Ocean,1044,Urban,Sandy,20191213,Cleanup,,8.398839259597667,55.49409951091066,8.4104701079911,55.48743770401203,,3,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
Surfrider Foundation Europe,"142 Avenue Pierre Mend?s France, 13008 Marseille, France",,Mediterranean Sea,350,,,20191002,Cleanup,,5.375593500000001,43.254951199999994,5.375593500000001,43.25495120654253,,7,,,16,8,,60,,,3,,,,,,,16,,,,,,550,,,17,,,7,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,4,,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,4,,12,,,,,,,,4,,,0
Surfrider Foundation Europe,"8 Quai Admis en Chef Thomas, 35260 Cancale, France",FR,North-east Atlantic Ocean,150,,,20190519,Cleanup,,-1.8515289,48.6708229,-1.8515289,48.670822905932326,,35,,,,2,,15,,,12,,,,,,,6,,,,,,298,,,12,10,,6,5,1,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,11,,9,,,,,,,,,,,,13,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,7,,,35,,,,,,,,,,,,,,,97,,15,,,,,,,,545,,,0
Surfrider Foundation Europe,"3496 D64, 13122 Ventabren, France",,Mediterranean Sea,350,,,20190602,Cleanup,,5.3074537,43.51566919999999,5.3074537,43.51566920651445,,56,,,100,256,,31,,,2,,,,,,,103,,,,,1,20,,,13,3,1,9,22,6,,,,,,,,,1,,,1,,,,1,,,1,,,,,,,,,,2,2,,,,,18,,16,,,,,,,,,,,,3,,,,,2,,,,1,,,,,2,,,,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,,,,45,,,30,,,,,,,,,,,,,,,10,,80,,,,,,,,10,,,0
CleanPiterCoast,Baltiisky bulvar,RU,Baltic Sea,89,Urban,Other (mixed),20190608,Cleanup,,30.15431911691785,59.870065769489045,30.153284443671065,59.869458311490966,,4,24,7,2,5,,7,,,,,,,,,,16,,12,5,17,3,293,1,,23,5,12,15,40,8,,,,,,1,,,,,,1,,,,2,,,,,,,,,,,,,,,,8,,,,,,,,,,,,17,,,,,73,8,,,3,2,,,107,4,,,1,,,,,,13,9,1,,3,,5,,,5,1,21,,,3,,,,46,,2,,2,,,,1,,,,,,,,19,23,,,,,,,,,,,,,,,,,102,,,,6,,,,,,,
Surfrider Foundation Europe,"Zumaia, Gipuzkoa, España",ES,North-east Atlantic Ocean,100,,,20190401,Monitoring,,-2.256885,43.29882359999999,-2.256885,43.29882360653781,,3,,,,,,12,,,,,,,,,,33,,,,,1,,,,26,,3,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0
Georgia,Batumi,GE,Black Sea,918,Urban,Pebbels,20191114,Cleanup,,41.617777344162434,41.646067119486354,41.61032098055453,41.639974022591076,,36,11,,15,34,,6,,,,,,,,,,73,,,,,,195,,,14,,,,11,14,,,,,,,,1,,,,9,,14,,,,,,,,,,,,,,,,,,4,44,,,,6,,,,,,,,,,,,21,,,,,,,,3,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
Blue Flag Turkey,Kindilcesme,TR,Mediterranean Sea,81,Rural,Sandy,20201030,Monitoring,,30.556695999999995,36.625434999999996,30.556599000000002,36.62471399999996,,20,,,3,,,,,,,,,,,,,40,,,,,1,116,2,,,,,7,,7,,,,,,26,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3,,,,17,,,,,,,,,,,,,5,,,6,,,,,,,,,,,1,,,,,,5,,,,,,,,,,,
Surfrider Foundation Europe,"32B Route du Collet, 44580 Les Moutiers-en-Retz, France",FR,North-east Atlantic Ocean,350,,,20190604,Cleanup,,-1.9996799,47.057176399999996,-1.9996799,47.05717640611994,,69,,,,,,,,,24,,,,,,,,,,,,2,6,,,162,,1,3,8,,,,,,,,,,78,,,102,,,,14,,,,,,,,,,,,,7,,,,,,46,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,26,,,0
"Aarhus University, Denmark ",MSFD Langerak,DK,North-east Atlantic Ocean,100,Rural,Sandy,20190623,Monitoring,,10.14330978837202,57.02887660067557,10.142177829367327,57.02952727618277,,5,11,,2,,,5,,,1,,,,1,,3,3,3,6,1,3,,,,,32,,1,8,,3,,,,2,,3,,,,,,13,,,,,,,,,,,,,2,19,1,,12,,,67,,,289,,16,,1,,,2,,,,,,,2,1,,,,,,,4,1,1,,,,,,,,1,,,,2,,,,,3,,,,,,2,,,1,,,,,,,,,,,6,,,2,,,,,,,,,,,1,,,1,,,,,,6,,,,4,,,,2,,,
Surfrider Foundation Europe,"Passeig Migdia, 100P, 08005 Barcelona, Espa?a",ES,Mediterranean Sea,350,,,20190322,Cleanup,,2.20667,41.394079999999995,2.20667,41.39408000673898,,,,,17,,,51,,,,,,,,,,41,,,,,,2500,,,52,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,630,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,,,,,,,,,,,,,,,,,,,,,,,32,,,27,,,,,,,,,,,,,,,,,2,,,,,,,,5,,,0
Surfrider Foundation Europe,"Corniche S, Hammam Lif, Tunisie",TN,Mediterranean Sea,750,,,20190427,Cleanup,,10.3750426,36.71877049999999,10.3750426,36.7187705072007,,46,,,63,2,,56,,,21,,,,,,,241,,,,,10,310,,,11,1,,43,3,44,,,,,,,,,50,,,3,,,,15,,,4,,,,,,,,,,,5,,,,,13,,1,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,32,,,55,,,,,,,,,,,,,,,2,,30,,,,,,,,42,,,0
Mare Nostrum,Edighiol,RO,Black Sea,107,Near river mouth,Other (mixed),20201109,Monitoring,,28.90332,44.57214999999999,28.902720000000002,44.57128999999999,,,3,,16,25,2,6,,1,4,,,,,,,44,2,9,1,,,,,,15,,2,3,,,38,,,,,,,,,,1,7,,,,,,,,,5,,,,1,1,,,,,,69,,,14,,67,,,,,,,,,,,,1,,,,,,,6,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,2,3,,,4,,,,,,,,,,,,,,,,,6,,1,,4,,,,7,2,,
Surfrider Foundation Europe,"Calle Mulhac?n, 28, 30310 Cartagena, Murcia, Espa?a",,Mediterranean Sea,750,,,20191130,Cleanup,,-1.0064722,37.622940899999996,-1.0064722,37.622940907115066,,100,,,50,12,,50,,,2,,,,,,,10,,,,,1,20,,,100,5,5,10,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,200,,40,,,,,,,,,,,,25,,,,,15,,,,,,,,,5,,,,,,,,,,,,5,40,,,,,,,,,,,,,,,,,,,,,,,50,,,15,,,,,,,,,,,,,,,10,,5,,,,,,,,100,,,0
Surfrider Foundation Europe,"10 Rue Alfred Basle, 35260 Cancale, France",FR,North-east Atlantic Ocean,750,,,20190519,Cleanup,,-1.8513372,48.70133599999999,-1.8513372,48.70133600592873,,2,,,4,,,27,,,4,,,,,,,14,,,,,,524,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,524,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,,0
gBqsPxAZ,Formby Beach,UK,North-east Atlantic Ocean,1362,Rural,Sandy,20190117,Cleanup,,-3.098766304461418,53.56642256417124,-3.0920822647241235,53.57800980892099,,,6,,5,,,2,,,,,,,1,,,16,,,3,,2,,,,9,,,1,2,,,,,,,,,,,,,35,,,2,,,,,,,,,,,4,,,3,2,,,5,,,4,,,,,,,,,,,,,,,,,,,1,,5,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surfrider Foundation Europe,"283 Chemin de la Pin?de, 83000 Toulon, France",FR,Mediterranean Sea,350,,,20190616,Cleanup,,5.9488975,43.1146883,5.9488975,43.11468830655758,,10,,,1,1,,,,,1,,,,,,,5,,,,,1,449,,,2,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,20,,30,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,10,,,,,,,,,,,,,,,2,,2,,,,,,,,10,,,0
EMBLAS,Ureki,,Black Sea,59,Urban,Sandy,20190907,Cleanup,,41.759569387833494,41.99489987051254,41.7597076210976,41.99437463732402,,12,5,,1,7,,,,,,,,,,,,59,,10,,3,3,150,,,32,12,9,2,1,14,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,2,,,13,1,,97,,28,,,,,4,,3,,,,,,8,,,2,4,,,,,,,,,,,,,1,,,,,,,,,6,,,,,3,,,,,11,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,7,,,
Monitoraggio Strategia Marina – Ministero dell’Ambiente,Bosco Isola Lesina,IT,Mediterranean Sea,99,,,20190114,Monitoring,,15.38882,41.90057999999999,15.38982,41.90057999999999,28,28,3,3,3,28,28,12,28,12,12,1,1,1,7,6,7,2,28,28,28,28,6,8,,10,5,28,28,3,28,28,28,3,3,,,117,117,6,117,117,6,3,3,3,3,3,3,3,1,3,3,2,2,2,7,5,3,3,3,6,5,6,3,,,6,6,9,9,3,6,6,6,6,6,7,6,3,5,158,,,,7,5,,5,6,6,6,,,,,,,,4,,,,,,2,,,2,,,,,,,,,,,,2,2,,2,2,,2,2,2,2,,1,1,1,1,,,,,,,,,,,,,,,,,5,5,1,5,,1,,,,,
Surfrider Foundation Europe,"11 Boulevard de Verdun, 44600 Saint-Nazaire, France",FR,North-east Atlantic Ocean,750,,,20190913,Cleanup,,-2.2059024,47.27154409999999,-2.2059024,47.271544106095284,,,,,20,3,,10,,,,,,,,,,,,,,,,60,,,15,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,12,,35,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,15,,,6,,,,,,,,,,,,,,,6,,5,,,,,,,,30,,,0
Surfrider Foundation Europe,"1748 Boulevard Mar?chal Juin, 06160 Antibes, France",,Mediterranean Sea,350,,,20190820,Cleanup,,7.1180495,43.5494703,7.1180495,43.54947030651081,,20,,,17,3,,3,,,,,,,,,,5,,,,,,200,,,5,,,10,1,1,,,,,,,,,,,,,,,,8,,,4,,,,,,,,,,,,,,,,3,,5,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,20,,,15,,,,,,,,,,,,,,,25,,45,,,,,,,,200,,,0
gBqsPxAZ,Formby point,UK,North-east Atlantic Ocean,722,Rural,Sandy,20190325,Cleanup,,-3.103213064830821,53.55175305850284,-3.102223183371461,53.55821200692491,,2,,,28,6,2,18,,,,,,,,,,188,58,10,,,8,,6,,608,18,6,22,4,32,,,,,,,,,,,8,26,,,,,,,,,,,,,,250,,,8,,,,484,,,30,4,,,,,,,,18,,,,43,28,,,,,,2,,12,2,,,,,,,2,,10,,,,,,,16,10,,,,,,,,,,,,,8,,,,,,,,,4,6,,,12,,,,,,,,,,,,,,,,,,,,,,,,,64,,,
Surfrider Foundation Europe,"348 Avenue Grassion Cibrand, 34280 Mauguio, France",FR,Mediterranean Sea,750,,,20190601,Cleanup,,3.999631,43.5508177,3.999631,43.55081770651067,,,,,2,1,,,,,6,,,,,,,124,,,,,2,3862,,,,68,17,3,5,34,,,,,,,,,,,,14,,,,,,,10,,,,,,,,,,7,3,,,,,,,158,,,,,,,,,,,,173,,,,,2,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,1,,,36,,,,,,,,,,,,,,,7,,,,,,,,,,115,,,0
Surfrider Foundation Europe,"37 Quai de la Seine, 75019 Paris, France",,Unknown,750,,,20191010,Cleanup,,2.3730038000000007,48.8861338,2.3730038000000007,48.88613380590695,,16,,,6,5,,14,,,1,,,,,,,17,,,,,1,13,,,45,1,5,21,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,12,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,13,,,1,,,,,,,,,,,,,,,,,5,,,,,,,,3,,,0
Surfrider Foundation Europe,"Aeroporto, 33000 Bordeaux, France",,Unknown,1200,,,20190920,Cleanup,,-0.57918,44.837788999999994,-0.57918,44.837789006369995,,93,,,,41,,,,,,,,,,,,38,,,,,,470,,,,,,,2,5,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Coder Dojo Dunmore East,Ladies Cove,IE,North-east Atlantic Ocean,53,Urban,Pebbels,20190309,Cleanup,,-6.993711684681571,52.152844532775774,-6.99344387648611,52.15329199329495,,,,,5,,,,,,,,,,,,,1,,,,,,,,,2,,,,1,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Surfrider Foundation Europe,"Chemin Lousaou, 56370 Sarzeau, France",FR,North-east Atlantic Ocean,1200,,,20190504,Cleanup,,-2.727037,47.509344999999996,-2.727037,47.509345006067846,,172,,,,,,82,,,4,,,,,,,33,,,,,2,22,,,29,36,3,14,,1,,,,,,,,,16,,,3,,,,901,,,55,,,,,,,,,,14,,,,,,389,,28,,,,,,,,,,,,2,,,,,1,,,,2,,,,,,,,,,,,,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,3,,,,,,,,,,3,,,0
gBqsPxAZ,"Saint Raphael, Limassol",CY,Mediterranean Sea,102,Rural,Sandy,20200729,Cleanup,,33.168533563221,34.71144673852095,33.16750359495928,34.711085141172696,,16,,24,6,16,,8,,,,,,,,,,46,8,6,,6,2,386,,,42,6,22,24,6,52,,,22,,,,,,,,28,2,18,,,,,,,,,,,,,,,,,,,,,,154,,24,,,,,,,,,,,20,2,,,,,,,6,220,72,,,,,,,,2,4,,,,,,,,,30,,,,,4,,,,142,38,,,,,,,,,,24,,,,,22,22,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,
gBqsPxAZ,Hvidovre strand og strang-eng,DK,Baltic Sea,400,Urban,Sandy,20190529,Cleanup,,12.495041842570817,55.62065303296474,12.497027140105553,55.62406695168619,,,11,,2,,,5,,,,,,,,,,3,,,,,,,,,10,,,,3,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gBqsPxAZ,Bar Montenegro,ME,Mediterranean Sea,254,Urban,Other (mixed),20190507,Cleanup,,19.085954007425805,42.110284124593015,19.084344023042632,42.11223492288186,,3,12,,9,24,,13,,,,,,,,,,8,,,,,,35,,,16,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,55,96,,,,34,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
Surfrider Foundation Europe,"R. Cabedelo, 3090 Figueira da Foz, Portugal",PT,North-east Atlantic Ocean,1500,,,20190317,Cleanup,,-8.8622209,40.13994809999999,-8.8622209,40.139948106867365,,100,,,15,10,,10,,,3,,,,,,,80,,,,,5,50,,,,30,10,15,10,30,,,,,,,,,50,,,200,,,,50,,,,,,,,,,,,,,10,,,,,50,,100,,,,,,,,,,,,50,,,,,,,,,,,,,,3,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,10,,,,,,,,,,,0
Surfrider Foundation Europe,"Plage Calabonita, Al Hoce?ma, Maroc",,Mediterranean Sea,150,,,20190427,Cleanup,,-3.9226688,35.234739700000006,-3.9226688,35.234739707337404,,72,,,3,11,,11,,,2,,,,,,,151,,,,,32,842,,,17,108,6,1,1,1,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,3,,,,,171,,95,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,,1,,,,,,,,4,,,0
Surfrider Foundation Europe,"13 Rue du Four, 22100 Lanvallay, France",,North-east Atlantic Ocean,6000,,,20191019,Cleanup,,-2.03782,48.45495,-2.03782,48.4549500059577,,50,,,10,10,,100,,,10,,,,,,,80,,,,,30,100,,,50,20,10,10,10,10,,,,,,,,,,,,20,,,,10,,,10,,,,,,,,,,5,2,,,,,30,,30,,,,,,,,,,,,20,,,,,20,,,,5,,,,,,,,,,,,,,,,,10,5,,,,,,,,,,,,,,,,,,,,,,,5,,,5,,,,,,,,,,,,,,,20,,30,,,,,,,,5,,,0
